# Documentation/platforms/chip-vendors.txt
#
# Who makes each chip family, so that the vendor: tag on a board page can be
# derived rather than typed.  Checked by tools/ci/check_doc_coverage.py.
#
# One rule per line:
#
#   <family>   <vendor>      exact family, named after the directory under
#                            arch/<arch>/src/
#   <prefix>*  <vendor>      every family starting with <prefix>
#   <family>   -             no vendor: virtual, emulated or open source
#   <family>   ?             vendor not known to us yet; see the note below
#
# Exact rules win over prefix rules; the longest prefix wins.  The vendor name
# is lower case, no spaces, and names the company as it is today: Freescale
# parts are nxp because Freescale became part of NXP in 2015.
#
# A chip family with no rule here makes the check fail.  That is deliberate:
# adding a family is the moment somebody knows who makes it.

# -- Arm ---------------------------------------------------------------------
stm32*            st
nrf*              nordic
sam*              microchip
at32uc3           microchip
at90usb           microchip
atmega*           microchip
avrdx             microchip
pic32m*           microchip
mpfs              microchip
lpc*              nxp
imx*              nxp
mx8mp             nxp
kinetis           nxp
kl                nxp
s32k*             nxp
m9s12             nxp
rv32m1            nxp
rp2040            raspberry-pi
rp23xx            raspberry-pi
rp23xx-rv         raspberry-pi
bcm2711           broadcom
tiva              ti
am335x            ti
am62x             ti
am67              ti
c5471             ti
dm320             ti
xmc4              infineon
tc397             infineon
tc4da             infineon
efm32             silabs
nuc1xx            nuvoton
ht32f491x3        holtek
at32              artery
gd32f4            gigadevice
gd32vw55x         gigadevice
cxd56xx           sony
lc823450          onsemi
max326xx          maxim
moxart            moxa
phy62xx           phyplus
eoss3             quicklogic
ra4               renesas
m16c              renesas
rx65n             renesas
sh1               renesas
rtl87*            realtek
a1x               allwinner
a64               allwinner
a527              allwinner
allwinner-d1      allwinner
rk3399            rockchip
rk3588            rockchip
jz4780            ingenic
zynq-mpsoc        amd
intel64           intel
ez80              zilog
z180              zilog
z8                zilog
z80               zilog
z16f              zilog

# -- Espressif and the RISC-V vendors ----------------------------------------
esp32*            espressif
bl602             bouffalolab
bl808             bouffalolab
fe310             sifive
k210              canaan
k230              canaan
hpm6000           hpmicro
hpm6750           hpmicro
jh7110            starfive
eic7700x          eswin
c906              thead
sg2000            sophgo

# -- No vendor ---------------------------------------------------------------
# Emulated, virtual or open source cores: there is no company to name.
qemu              -
qemu-rv           -
sim               -
lm32              -
mor1kx            -
litex             -
# Arm's own prototyping and virtual platforms.
mps               arm
fvp-v8r           arm
fvp-v8r-aarch32   arm

# -- Vendor not known yet ----------------------------------------------------
# These are SPARC V8 parts whose maker is not named anywhere in the
# documentation.  Replace the '?' with the vendor when somebody who knows the
# hardware can confirm it; do not guess.
bm3803            ?
bm3823            ?
s698pm            ?
